total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
2.0,BEL,Belgium,2008,-0.343476136908251,4.7,2.921,79.6804878048781,10709973.0,84.427037120012,16.18668592141235,1.0986122886681098
3.0,BEL,Belgium,2012,-0.403775116080638,4.3,2.933,80.3853658536585,11106932.0,85.4915403816388,16.22307997586528,1.3862943611198906
6.0,BEL,Belgium,2016,0.682454832714654,4.1,3.28,81.4390243902439,11331422.0,86.4507790979645,16.24309013263099,1.9459101490553132
0.0,BEN,Benin,1980,3.87849215726132,211.7,0.059,47.747,3925251.0,27.3020371175737,15.182940856198579,0.0
0.0,BEN,Benin,1992,-0.174577693605642,163.9,0.055,54.137,5617844.0,35.7897618395069,15.541458518371863,0.0
0.0,BEN,Benin,2004,1.28077994352564,123.5,0.038,57.346,8159094.0,39.8525699078742,15.914643691364304,0.0
0.0,BEN,Benin,2008,1.77647069609412,113.0,0.059,58.099,9228466.0,41.8029662723105,16.037803395483653,0.0
0.0,BEN,Benin,2016,0.361166139903119,95.0,0.045,59.283,11697842.0,46.6094559006664,16.27491493831157,0.0
0.0,BIH,Bosnia and Herzegovina,2000,4.66760700032494,9.5,1.312,75.292,4159771.0,42.5539898606589,15.240970582645321,0.0
0.0,BIH,Bosnia and Herzegovina,2004,7.28905393914994,7.6,1.372,76.489,4140987.0,43.8380473519042,15.236444723184453,0.0
0.0,BIH,Bosnia and Herzegovina,2008,7.20155128475226,7.0,1.59,76.3,3947544.0,45.1090576163352,15.188604171344938,0.0
0.0,BIH,Bosnia and Herzegovina,2012,1.11532015786369,6.7,1.914,77.037,3670113.0,46.3655655972,15.11573300974748,0.0
0.0,BIH,Bosnia and Herzegovina,2016,4.59597025623206,6.8,2.146,77.124,3473003.0,48.0248845752382,15.060530195532346,0.0
15.0,BLR,Belarus,1996,3.14668598096435,15.5,3.084,68.5121951219512,10159569.0,68.2737426757812,16.13392657795496,2.772588722239781
17.0,BLR,Belarus,2000,6.29963628199231,12.8,3.268,68.9121951219512,9979610.0,69.9172295434732,16.116054569367762,2.8903717578961645
13.0,BLR,Belarus,2004,12.2126184264071,9.4,3.299,68.9560975609756,9730146.0,71.7658538818359,16.09073945918836,2.6390573296152584
18.0,BLR,Belarus,2008,10.581305038428,6.6,3.578,70.4560975609756,9527985.0,73.5531692504883,16.06974381570873,2.9444389791664403
12.0,BLR,Belarus,2012,1.86726973670382,4.9,3.885,71.9658536585366,9446836.0,75.5281066894531,16.061190428592116,2.5649493574615367
9.0,BLR,Belarus,2016,-2.61191381567238,3.9,4.372,73.8268292682927,9469379.0,76.8458709716797,16.06357388751051,2.302585092994046
0.0,BOL,Bolivia,1984,-2.31057153866044,151.0,0.697,53.383,6281868.0,48.7889804252647,15.653177946443536,0.0
0.0,BOL,Bolivia,2016,2.7222071569043,30.3,1.569,67.392,11180020.0,68.7446327876947,16.229638814598392,0.0
8.0,BRA,Brazil,1984,3.12069396131707,79.8,0.927,63.553,132658864.0,70.8607419854387,18.703291458780637,2.1972245773362196
6.0,BRA,Brazil,1988,-1.9510165069396,68.4,1.185,65.161,143826357.0,73.6138622973844,18.78411727574647,1.9459101490553132
3.0,BRA,Brazil,1992,-2.18850140503228,57.2,1.14,66.539,154275079.0,76.0910875240585,18.85424779424387,1.3862943611198906
15.0,BRA,Brazil,1996,0.672968776246492,44.7,1.259,68.108,164202549.0,78.3021415455398,18.916611278613633,2.772588722239781
0.0,BRN,Brunei Darussalam,1984,-5.56827268914583,16.7,0.534,70.236,211661.0,60.0533276795725,12.262741217194808,0.0
0.0,BRN,Brunei Darussalam,1996,-2.40064278413038,11.9,0.848,73.079,298276.0,69.3322406854373,12.605774511349226,0.0
0.0,BRN,Brunei Darussalam,2000,1.2515924816352,10.3,1.029,74.017,326424.0,71.2246805488418,12.695952428780698,0.0
0.0,BRN,Brunei Darussalam,2004,-1.67510542923259,9.5,1.312,74.603,352911.0,73.0675067339261,12.77397117948078,0.0
0.0,BRN,Brunei Darussalam,2008,-5.66095294794741,9.6,1.493,74.814,377793.0,74.7929411399737,12.842101705556031,0.0
1.0,BRN,Brunei Darussalam,2012,-0.62162371685136,9.9,1.469,74.843,405557.0,75.2714233503027,12.913016709859948,0.6931471805599453
0.0,CAF,Central African Republic,2004,3.72625182811642,152.2,0.079,47.696,4192826.0,37.9626889392062,15.248885527557526,0.0
0.0,CAF,Central African Republic,2008,-0.0996463174017777,135.6,0.0405,49.873,4558984.0,38.3474489192338,15.332610349647855,0.0
11.0,CAN,Canada,1976,4.50510430004691,16.0,1.7,73.8560975609756,23449808.0,75.532954066479,16.97037286518978,2.4849066497880004
